@relation 'D__Documents_Projects_Description Classifier_data_property'

@attribute text string
@attribute @@class@@ {absence.property,existence.property,precedence.property,response.property,universal.property}

@data
' if monitor signal of 1 or 2 lose then should stop at once should flicker with 2hz and belt 3 will stop work after 6s\n',response.property
' if monitor signal of 3 lose then of three should stop at once\n',response.property
' if reach request will let go\n',response.property
' if then will close\n',response.property
' when work and light on if will reset\n',response.property
' only one of 3-counting \'s four \'s may be occupy at one\n',universal.property
' send from ( ) that connect be false\n',universal.property
'\n',universal.property
' shall command at most one interconnected dump\n',universal.property
' if be move then key can not be out of\n',universal.property
' shall command to glide\n',universal.property
' have to be empty at of\n',universal.property
' receive must correspond to id\n',universal.property
' in there be single at top of\n',universal.property
' in attach to have unique\n',universal.property
' in in be always bound\n',universal.property
' its before terminate\n',universal.property
' be always that if be true then shall be command_not_enabled\n',universal.property
' for receive be equal to one two\n',universal.property
' be fork on of\n',universal.property
' be continuously work within next 10\n',universal.property
' with at least 99 will hold continuously for 20\n',universal.property
' in long that be full be less than\n',universal.property
' in there be one work\n',universal.property
' single continuous for more than 3\n',universal.property
' \'s local be prior to remote\n',universal.property
' last at most\n',universal.property
' be always in\n',universal.property
' be enable always and do not depend upon be in\n',universal.property
' generic menu shall be available to of shall be enable always\n',universal.property
' can either or non-color at\n',universal.property
' be always enable\n',universal.property
' be always that when be empty be enable\n',universal.property
' be always that be in when ! be true\n',universal.property
